epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.781,1.46157,1.97344,1.22864,0.69191,0.63367,0.62311,0.23267,1.88503,3.41968,1.59731,0.00332749,0.00332749,0.00332749
2,276.569,1.3063,1.07375,1.11639,0.67482,0.59133,0.59453,0.23595,1.92007,1.75497,1.57145,0.00652893,0.00652893,0.00652893
3,409.108,1.30566,0.96258,1.11401,0.63778,0.54838,0.52177,0.17447,2.17847,2.9486,1.75168,0.00959838,0.00959838,0.00959838
4,540.605,1.32346,0.9371,1.13629,0.70003,0.64538,0.66773,0.28201,1.78391,1.64678,1.47877,0.009406,0.009406,0.009406
5,672.865,1.21067,0.82802,1.08661,0.69114,0.62489,0.62657,0.24931,1.84809,3.04548,1.49056,0.009208,0.009208,0.009208
6,804.742,1.09904,0.73639,1.0435,0.71804,0.62271,0.65668,0.25981,1.90858,1.82374,1.58792,0.00901,0.00901,0.00901
7,936.705,1.03383,0.69415,1.02057,0.76092,0.69161,0.7172,0.31432,1.72188,1.46835,1.40236,0.008812,0.008812,0.008812
8,1068.86,0.98399,0.66048,1.00387,0.75568,0.69164,0.70832,0.30448,1.70245,1.61817,1.41909,0.008614,0.008614,0.008614
9,1200.31,0.94149,0.62596,0.99087,0.75859,0.69064,0.70516,0.30872,1.70455,1.37547,1.44383,0.008416,0.008416,0.008416
10,1332.92,0.89913,0.5952,0.97147,0.76765,0.68709,0.732,0.31857,1.72574,1.36951,1.39677,0.008218,0.008218,0.008218
11,1465.08,0.87616,0.58823,0.96888,0.75365,0.70391,0.725,0.31038,1.7313,1.34075,1.45213,0.00802,0.00802,0.00802
12,1596.55,0.85062,0.56903,0.95848,0.77076,0.7057,0.74554,0.33955,1.66553,1.27907,1.38921,0.007822,0.007822,0.007822
13,1728.43,0.82418,0.54885,0.95132,0.7733,0.74309,0.76528,0.3487,1.63819,1.36749,1.3784,0.007624,0.007624,0.007624
14,1860.36,0.81336,0.54435,0.94917,0.78896,0.73263,0.76488,0.34274,1.69419,1.28843,1.42771,0.007426,0.007426,0.007426
15,1992.67,0.78404,0.5241,0.93971,0.78318,0.74352,0.78164,0.36731,1.60867,1.24689,1.34013,0.007228,0.007228,0.007228
16,2124.46,0.77345,0.51922,0.93599,0.79156,0.72964,0.77821,0.35805,1.62075,1.27453,1.35652,0.00703,0.00703,0.00703
17,2256.71,0.76051,0.50972,0.93239,0.78867,0.73454,0.76836,0.35206,1.6401,1.29133,1.37973,0.006832,0.006832,0.006832
18,2388.88,0.75252,0.5033,0.93424,0.79228,0.75688,0.78788,0.35995,1.62825,1.38056,1.37157,0.006634,0.006634,0.006634
19,2520.68,0.73413,0.48902,0.92507,0.79194,0.75672,0.79446,0.38793,1.57447,1.24875,1.331,0.006436,0.006436,0.006436
20,2652.89,0.72071,0.48391,0.92627,0.79418,0.76045,0.80213,0.38822,1.58213,1.32544,1.33817,0.006238,0.006238,0.006238
21,2784.6,0.71303,0.47811,0.92128,0.78578,0.76748,0.79338,0.38781,1.56587,1.14374,1.31131,0.00604,0.00604,0.00604
22,2917.15,0.70566,0.47329,0.91875,0.79203,0.75385,0.7941,0.38289,1.57465,1.20313,1.32365,0.005842,0.005842,0.005842
23,3049.55,0.68797,0.46487,0.91633,0.81359,0.76398,0.81279,0.40336,1.55708,1.22349,1.31788,0.005644,0.005644,0.005644
24,3181.99,0.68799,0.46086,0.91598,0.78265,0.77204,0.79867,0.38609,1.57336,1.19457,1.32526,0.005446,0.005446,0.005446
25,3314.52,0.68012,0.4571,0.91428,0.80837,0.77598,0.81622,0.40412,1.5683,1.20637,1.32158,0.005248,0.005248,0.005248
26,3446.73,0.66599,0.45044,0.90884,0.79758,0.77417,0.80774,0.39777,1.54145,1.17163,1.31188,0.00505,0.00505,0.00505
27,3579.38,0.65116,0.43863,0.90721,0.80136,0.77626,0.81655,0.40854,1.55246,1.17122,1.30709,0.004852,0.004852,0.004852
28,3711.43,0.64948,0.43517,0.90426,0.80047,0.77424,0.81595,0.40616,1.564,1.14113,1.32167,0.004654,0.004654,0.004654
29,3843.93,0.64154,0.43067,0.9022,0.79733,0.78251,0.81894,0.40974,1.54165,1.2525,1.30512,0.004456,0.004456,0.004456
30,3976.45,0.63777,0.43049,0.90346,0.79524,0.78043,0.82301,0.41137,1.55495,1.20342,1.30863,0.004258,0.004258,0.004258
31,4109.14,0.63321,0.42123,0.90218,0.79944,0.77662,0.82077,0.40808,1.55433,1.1143,1.3088,0.00406,0.00406,0.00406
